    5.082    4.022    2.539    3.076
    6.852    5.208    4.562    3.629
    5.135    2.889    2.216    2.501
    5.443    4.229    3.508    5.174
    6.725    3.113    3.204    3.121
    3.969    4.085    2.777    1.018
    5.621    3.643    1.826    1.862
    3.749    2.601    2.573    2.468
    8.672    5.270    2.193    3.499
    7.191    4.327    4.434    3.328
    2.935    2.000    2.137    1.454
    5.902    4.856    3.114    3.108
    7.688    5.784    2.765    4.660
    3.197    2.403    3.660    2.780
    3.851    3.046    2.459    1.908
    2.954    3.372    2.451    3.036
    5.761    3.772    3.668    3.780
    5.263    2.308    3.071    3.830
    5.975    5.178    4.490    4.366
    8.950    4.752    2.759    2.045
    6.641    4.743    4.689    4.044
    0.947    1.941    1.659    0.099
    4.649    3.882    2.491    2.789
    1.239    2.597    2.933    1.934
    6.171    4.489    3.200    2.709
    4.773    3.779    4.043    3.357
    5.183    3.966    3.572    3.506
    4.495    2.636    4.123    3.646
    5.041    7.006    3.883    4.136
    5.306    2.700    4.136    3.589
    5.105    4.600    4.018    3.733
    5.037    5.624    3.573    2.477
    6.502    4.703    3.033    4.013
    5.469    5.834    3.204    3.444
    7.322    4.561    4.014    4.155
    7.367    4.308    3.420    2.641
    4.117    2.898    3.495    4.562
    8.675    4.733    2.243    4.725
    5.878    2.749    3.485    2.606
    3.285    1.042    2.740    4.154
