0.2 2.1461 0
0.3231 4.1423 0
0.4462 2.263 0
0.5692 3.5739 0
0.6923 5.1565 1
0.8154 3.5953 0
0.9385 4.0124 0
1.0615 4.2183 0
1.1846 4.8603 0
1.3077 5.5894 1
1.4308 6.8809 0
1.5538 5.7095 0
1.6769 5.9733 0
1.8 7.2357 0
1.9231 7.0685 1
2.0462 8.4222 0
2.1692 8.7095 0
2.2923 8.1443 0
2.4154 10.8422 0
2.5385 11.2583 1
2.6615 13.0649 0
2.7846 14.0441 0
2.9077 15.4836 0
3.0308 15.9713 0
3.1538 17.2419 1
3.2769 17.6231 0
3.4 20.3614 0
3.5231 21.8991 0
3.6462 21.7609 0
3.7692 23.3124 1
3.8923 26.0863 0
4.0154 28.7013 0
4.1385 31.7175 0
4.2615 33.2139 0
4.3846 35.8945 1
4.5077 38.1327 0
4.6308 39.428 0
4.7538 41.7189 0
4.8769 45.2296 0
5 50.0998 1
