  0.0  0.0   0.0000
  0.0  1.0   1.3415
  0.0  2.0   1.9093
  0.0  3.0   1.6411
  0.0  4.0   1.2432
  0.0  5.0   1.5411
  1.0  0.0   0.9415
  1.0  1.0   1.5093
  1.0  2.0   1.2411
  1.0  3.0   0.8432
  1.0  4.0   1.1411
  1.0  5.0   2.3206
  2.0  0.0   1.3093
  2.0  1.0   1.0411
  2.0  2.0   0.6432
  2.0  3.0   0.9411
  2.0  4.0   2.1206
  2.0  5.0   3.5570
  3.0  0.0   1.0411
  3.0  1.0   0.6432
  3.0  2.0   0.9411
  3.0  3.0   2.1206
  3.0  4.0   3.5570
  3.0  5.0   4.3894
  4.0  0.0   0.8432
  4.0  1.0   1.1411
  4.0  2.0   2.3206
  4.0  3.0   3.7570
  4.0  4.0   4.5894
  4.0  5.0   4.5121
  5.0  0.0   1.5411
  5.0  1.0   2.7206
  5.0  2.0   4.1570
  5.0  3.0   4.9894
  5.0  4.0   4.9121
  5.0  5.0   4.4560
