    0.0000     0.0000     5.0000 
    0.0000     1.0000     3.4000 
    0.0000     2.0000     3.0000 
    0.0000     3.0000     3.0000 
    0.0000     4.0000     2.5000 
    0.0000     5.0000     1.5000 
    1.0000     0.0000     5.0000 
    1.0000     1.0000     4.2000 
    1.0000     2.0000     3.0000 
    1.0000     3.0000     2.5000 
    1.0000     4.0000     1.5000 
    1.0000     5.0000     1.0000 
    2.0000     0.0000     5.0000 
    2.0000     1.0000     5.0000 
    2.0000     2.0000     2.4000 
    2.0000     3.0000     1.5000 
    2.0000     4.0000     1.0000 
    2.0000     5.0000     1.0000 
    3.0000     0.0000     2.0000 
    3.0000     1.0000     2.0000 
    3.0000     2.0000     2.0000 
    3.0000     3.0000     2.0000 
    3.0000     4.0000     2.0000 
    3.0000     5.0000     2.0000 
    4.0000     0.0000     2.8276 
    4.0000     1.0000     3.3793 
    4.0000     2.0000     3.7500 
    4.0000     3.0000     4.0000 
    4.0000     4.0000     4.0000 
    4.0000     5.0000     4.0000 
    5.0000     0.0000     4.2069 
    5.0000     1.0000     4.7586 
    5.0000     2.0000     5.2500 
    5.0000     3.0000     4.9231 
    5.0000     4.0000     4.3077 
    5.0000     5.0000     4.0000 
