0.2 2.1461
0.3231 4.1423
0.4462 2.263
0.5692 3.5739
0.6923 5.1565
0.8154 3.5953
0.9385 4.0124
1.0615 4.2183
1.1846 4.8603
1.3077 5.5894
1.4308 6.8809
1.5538 5.7095
1.6769 5.9733
1.8 7.2357
1.9231 7.0685
2.0462 8.4222
2.1692 8.7095
2.2923 8.1443
2.4154 10.8422
2.5385 11.2583
2.6615 13.0649
2.7846 14.0441
2.9077 15.4836
3.0308 15.9713
3.1538 17.2419
3.2769 17.6231
3.4 20.3614
3.5231 21.8991
3.6462 21.7609
3.7692 23.3124
3.8923 26.0863
4.0154 28.7013
4.1385 31.7175
4.2615 33.2139
4.3846 35.8945
4.5077 38.1327
4.6308 39.428
4.7538 41.7189
4.8769 45.2296
5 50.0998
