1 1 5.77 1
1 2 8.36 1
2 1 2.05 1
2 2 2.92 1
3 1 4.11 1
3 2 3.26 1
4 1 3.35 1
4 2 4.74 1
5 1 0.68 1
5 2 0.99 1
6 1 0.7 1
6 2 3.3 1
7 1 7.61 1
7 2 5.07 1
8 1 0.03 1
8 2 5.7 1
9 1 0.23 1
9 2 1.18 1
10 1 0.38 1
10 2 2.01 0
11 1 0.26 1
11 2 1.21 1
12 1 1.36 1
12 2 0.84 1
13 1 0.53 1
13 2 2.55 1
14 1 14.08 1
14 2 12.16 1
15 1 1.94 1
15 2 2.01 1
16 1 0.66 1
16 2 1.37 1
17 1 1.29 1
17 2 1.36 0
18 1 4.03 1
18 2 2.21 1
19 1 3.95 1
19 2 5.37 1
20 1 5.83 1
20 2 6.32 1
21 1 2.91 1
21 2 2.6 1
22 1 0.47 1
22 2 1.24 1
23 1 6.82 1
23 2 4.55 1
24 1 2.73 1
24 2 1.98 1
25 1 1.91 0
25 2 3.37 1
26 1 5.9 1
26 2 11.46 1
27 1 0.47 1
27 2 0.53 1
28 1 4.57 1
28 2 3.69 1
29 1 2.55 1
29 2 2.8 0
30 1 11.01 1
30 2 8.04 1
