# cd1.dat
# Ship damage data, see McCullagh and Nelder, Generalized Linear
# Models, 1983, p.137.

# Col  1     : number of damage incidents
# Col  2     : aggregate months of service
# Col  3 - 6 : ship type:  0 0 0 0 = A
#                          1 0 0 0 = B
#                          0 1 0 0 = C
#                          0 0 1 0 = D
#                          0 0 0 1 = E
# Col  7 - 9 : year of      
#              construction: 0 0 0 = 1960 - 64
#                            1 0 0 = 1965 - 69
#                            0 1 0 = 1970 - 74
#                            0 0 1 = 1975 - 79
# Col 10     : period of
#              operation         0 = 1960 - 74
#                                1 = 1975 - 79

  0     127  0  0  0  0  0  0  0  0
  0      63  0  0  0  0  0  0  0  1
  3    1095  0  0  0  0  1  0  0  0
  4    1095  0  0  0  0  1  0  0  1
  6    1512  0  0  0  0  0  1  0  0
 18    3353  0  0  0  0  0  1  0  1
 -1       0  0  0  0  0  0  0  1  0
 11    2244  0  0  0  0  0  0  1  1
 39   44882  1  0  0  0  0  0  0  0
 29   17176  1  0  0  0  0  0  0  1
 58   28609  1  0  0  0  1  0  0  0
 53   20370  1  0  0  0  1  0  0  1
 12    7064  1  0  0  0  0  1  0  0
 44   13099  1  0  0  0  0  1  0  1
 -1       0  1  0  0  0  0  0  1  0
 18    7117  1  0  0  0  0  0  1  1
  1    1179  0  1  0  0  0  0  0  0
  1     552  0  1  0  0  0  0  0  1
  0     781  0  1  0  0  1  0  0  0
  1     676  0  1  0  0  1  0  0  1
  6     783  0  1  0  0  0  1  0  0
  2    1948  0  1  0  0  0  1  0  1
 -1       0  0  1  0  0  0  0  1  0
  1     274  0  1  0  0  0  0  1  1
  0     251  0  0  1  0  0  0  0  0
  0     105  0  0  1  0  0  0  0  1
  0     288  0  0  1  0  1  0  0  0
  0     192  0  0  1  0  1  0  0  1
  2     349  0  0  1  0  0  1  0  0
 11    1208  0  0  1  0  0  1  0  1
 -1       0  0  0  1  0  0  0  1  0
  4    2051  0  0  1  0  0  0  1  1
  0      45  0  0  0  1  0  0  0  0
 -1       0  0  0  0  1  0  0  0  1
  7     789  0  0  0  1  1  0  0  0
  7     437  0  0  0  1  1  0  0  1
  5    1157  0  0  0  1  0  1  0  0
 12    2161  0  0  0  1  0  1  0  1
 -1       0  0  0  0  1  0  0  1  0
  1     542  0  0  0  1  0  0  1  1

