# lsreg11.dat
# R.J. Freund, R.C. Littell, SAS System for Regression, p. 189

 7.87 1.790 .1375 4.68 .591 2.258 1.333                                   
 9.50 2.515 .3546 4.83 .488 2.275 1.111
 7.91 1.350 .1920 4.42 .412 2.341 0.965
13.30 3.607 .3390 5.01 .397 2.357 0.935
 8.48 1.963 .1381 4.70 .582 2.363 1.375
 9.38 1.123 .1481 4.24 .466 2.404 1.119
10.80 1.576 .1361 4.87 .535 2.425 1.297
 8.36 1.912 .3148 4.65 .434 2.711 1.177
 8.43 1.584 .1607 4.47 .439 2.743 1.203
 8.83 2.377 .3287 4.73 .417 2.780 1.159
 8.42 1.495 .3597 4.44 .400 2.833 1.133
 9.62 0.840 .1390 4.25 .410 2.846 1.166
 8.71 1.392 .1148 4.44 .478 2.906 1.390
 8.44 0.871 .1186 4.38 .495 2.954 1.461
 8.91 0.961 .1236 4.16 .476 2.962 1.411
 6.84 1.008 .1150 4.13 .539 2.971 1.600
 9.00 0.845 .1390 4.25 .409 3.044 1.245
10.20 1.692 .3007 4.65 .381 3.096 1.179
 8.29 0.877 .1060 4.37 .486 3.140 1.528
 8.09 1.528 .3522 4.32 .287 3.306 0.949
 9.47 1.408 .1345 4.70 .504 3.306 1.662
 7.70 1.236 .1221 4.28 .455 3.311 1.507
 9.57 0.863 .1390 4.26 .405 3.313 1.343
 8.35 1.031 .1365 4.22 .422 3.392 1.431
 7.27 1.416 .1145 4.38 .476 3.437 1.636
 7.52 0.975 .2025 3.96 .426 3.462 1.476
 9.56 2.189 .3279 4.62 .349 3.527 1.230
 7.94 0.949 .1488 4.00 .394 3.689 1.452
 7.55 1.164 .1270 4.22 .452 3.760 1.700
10.60 2.780 .1282 4.65 .425 3.856 1.637
10.80 1.518 .1356 4.43 .362 3.959 1.432
 6.31 0.823 .0943 4.06 .541 4.024 2.176
 5.65 0.821 .1290 4.01 .378 4.737 1.791

