# lsreg12.dat   LIMDEP 6, p. 251

1950  31.1  18.6                     
1951  39.3  21.7                     
1952  41.1  22.5                     
1953  43.9  24.8                     
1954  41.6  23.3                     
1955  45.1  16.5                     
1956  50.6  27.7                     
1957  51.9  28.7                     
1958  50.2  27.2                     
1959  52.9  30.3                     
1960  53.8  30.9                     
1961  54.9  30.9                     
1962  58.2  33.4                     
1963  60.0  35.0                     
1964  63.4  37.3                     
1965  68.2  41.0                     
1966  78.0  44.9                     
1967  84.7  46.5                     
1968  90.6  50.2                     
1969  98.2  53.5                     
1970 101.6  52.8                    
1971 102.6  55.9                    
1972 108.2  63.0                    
1973 124.6  72.9                    
1974 157.8  84.8                    
1975 159.9  86.4                    
1976 175.2  98.8                    
1977 189.2 113.2                   
1978 210.4 126.9                   
1979 240.9 143.9                   
1980 264.1 154.4                   
1981 282.1 168.1                   
1982 264.6 159.2                   
1983 260.4 170.6                   

