#   qr3.dat
#   example data for multinomial logit model
#   source: BMDP Manual II, p. 1048

 6  1   4
 6  2   3

 7  1   5
 7  6   4
 7  2   3 
 7  1   2

 8  6   5
 8 12   4
 8  4   3
 8  2   2
 8  1   1

 9 11   5
 9 15   4
 9  9   3
 9 10   2
 9  1   1

10 12   5
10 20   4
10 25   3
10 17   2
10  3   1

11  8   5
11 32   4
11 26   3
11 21   2
11  3   1

12  5   5
12 18   4
12 35   3
12 21   2
12  7   1

13 10   5
13 16   4
13 31   3
13 43   2
13 13   1

14  2   5
14  9   4
14 31   3
14 21   2
14 20   1

15  3   4
15 10   3
15 13   2
15 22   1

