# qr4.dat Example data, Daganzo, Multinomial Probit, p. 61

 16.481  16.196  23.890   2 
 15.123  11.373  14.182   2 
 19.469  8.822   20.819   2 
 18.847  15.649  21.280   2 
 12.578  10.671  18.335   2 
 11.513  20.582  27.838   1 
 10.651  15.537  17.418   1 
  8.359  15.675  21.050   1 
 11.679  12.668  23.104   1 
 23.237  10.356  21.346   2 
 13.236  16.019  10.087   3 
 20.052  16.861  14.168   3 
 18.917  14.764  21.564   2 
 18.200   6.868  19.095   2 
 10.777  16.554  15.938   1 
 20.003   6.377   9.314   2 
 19.768   8.523  18.960   2 
  8.151  13.845  17.643   2 
 22.173  18.045  15.535   1 
 13.134  11.067  19.108   2 
 14.051  14.247  15.764   1 
 14.685  10.811  12.361   3 
 11.666  10.758  16.445   1 
 17.211  15.201  17.059   3 
 13.930  16.227  22.024   1 
 15.237  14.345  19.984   2 
 10.840  11.071  10.188   1 
 16.841  11.224  13.417   2 
 13.913  16.991  26.618   3 
 13.089   9.822  19.162   2 
 16.626  10.725  15.285   3 
 13.477  15.509  24.421   2 
 20.851  14.557  19.800   2 
 11.365  12.673  22.212   2 
 13.296  10.076  17.810   2 
 15.417  14.103  21.050   1 
 15.938  11.180  19.851   2 
 19.034  14.125  19.764   2 
 10.466  12.481  18.540   1 
 15.799  16.979  13.074   3 
 12.713  15.105  13.629   2 
 16.908  10.958  19.713   2 
 17.098   6.853  14.502   2 
 18.608  14.268  18.301   2 
 11.059  10.812  20.121   1 
 15.641  10.754  24.669   2 
  7.822  18.949  16.904   1 
 12.824   5.697  19.183   2 
 11.852  12.147  15.672   2 
 15.557   8.307  22.286   2 


